"NATIONAL ACCOUNTS","","","","","","",""
"","Table 2.5:  Growth of Gross Domestic Product by Activity at Constant Prices, 2013 - 2019","","","","","",""
"","","","","","","","Per cent"
"Industry","2013","2014","2015","2016","2017","2018","2019"
"Agriculture, forestry and fishing......................................................","5.4","4.4","5.3","4.7","1.6","6.0","3.6"
"Growing of crops........................................................................","6.6","5.9","7.2","6.7","2.0","7.2","3.8"
"Animal production.......................................................................","1.9","1.4","2.2","2.4","0.1","2.4","3.2"
"Support activities to agriculture...................................................","3.8","-6.9","1.9","-18.8","-2.7","1.5","0.3"
"Forestry & logging......................................................................","5.0","3.3","1.0","8.2","4.4","2.1","3.3"
"Fishing & aquaculture.................................................................","5.9","2.1","-8.6","-17.3","-1.7","8.4","1.8"
"Mining and quarrying......................................................................","-4.2","14.9","12.3","9.5","4.5","2.7","2.5"
"Manufacturing................................................................................","5.6","2.5","3.6","3.1","0.7","4.3","3.2"
"Manufacture of food, beverages and tobacco.............................","10.5","1.4","6.0","3.9","1.1","8.3","3.4"
"All other manufacturing...............................................................","2.8","3.2","2.2","2.6","0.5","1.9","3.0"
"Electricity supply............................................................................","9.8","7.3","11.5","9.5","8.9","10.5","7.9"
"Water supply; sewerage, waste management................................","0.9","3.9","2.7","5.8","2.6","2.0","4.8"
"Construction...................................................................................","6.1","13.1","13.8","9.9","8.4","6.9","6.4"
"Wholesale and retail trade, repairs.................................................","8.4","6.9","5.9","3.7","5.8","6.9","6.6"
"Transport and storage....................................................................","1.3","5.5","8.0","6.5","7.2","8.5","7.8"
"Accommodation and food service activities....................................","-4.6","-16.7","-1.3","13.3","14.3","16.6","10.3"
"Information communication technology..........................................","12.5","14.5","7.4","9.9","11.0","11.3","8.8"
"Telecommunications...................................................................","17.1","20.1","8.6","11.4","13.0","13.4","9.9"
"Publishing, broadcasting, other IT and information activities.......","0.8","-1.9","3.0","4.0","2.9","2.0","2.9"
"Financial and insurance activities...................................................","8.2","8.3","9.4","6.9","2.6","5.3","6.6"
"Real estate.....................................................................................","4.1","5.6","7.2","8.8","6.1","4.1","5.3"
"Professional, scientific and technical activities...............................","6.7","4.1","3.6","5.1","4.6","5.3","6.1"
"Administrative and support service activities..................................","1.2","2.4","1.5","3.9","3.0","6.4","3.8"
"Public administration and defence..................................................","2.8","5.6","5.5","5.6","4.7","6.7","8.1"
"Education.......................................................................................","6.3","7.8","4.9","5.3","5.2","5.8","5.4"
"Human health and social work activities.........................................","7.7","8.1","5.8","4.8","4.3","4.4","5.8"
"Arts, entertainment and recreation.................................................","3.0","3.0","1.5","5.4","7.0","6.7","7.9"
"Other service activities...................................................................","7.3","6.5","6.0","6.0","7.0","6.7","6.6"
"Activities of households as employers;...........................................","1.5","1.5","1.5","1.4","1.6","1.6","1.6"
"Less: Financial intermediation services indirectly measured...........","5.2","11.3","13.5","0.5","-4.3","0.9","6.1"
"All industries at basic prices.......................................................","5.4","5.6","6.1","6.1","4.7","6.4","5.5"
"All industries excl. agriculture and forestry.....................................","0.0","1.3","0.8","1.4","3.1","0.5","1.9"
"Taxes less subsidies on products..............................................","9.5","3.4","2.8","4.4","5.7","5.6","4.4"
"GDP at market prices...................................................................","5.9","5.4","5.7","5.9","4.8","6.3","5.4"
"Provisional","","","","","","",""
